course,prof,gpa
470,"Kim, Joohyung",3.4115555555555566
470,"Belabbas, Mohamed Ali",3.3048778833107186
470,"Driggs-Campbell, Katherin",3.7328571428571427
470,"Bretl, Timothy W",3.5427557787040547
470,"Hutchinson, Seth A",2.8841969957680162
473,"Oelze, Michael L",3.124944124797066
473,"Campos Coiado, Olivia",3.1472
473,"King, Daniel A",3.0357142857142856
473,"O'Brien, William D",3.0591304347826087
476,"Dominguez-Garci, Alejandr",2.978247914365402
476,"Overbye, Thomas J",3.21363278256705
480,"Liang, Zhi-Pei",3.4772727272727275
481,"Lyding, Joseph W",3.6684788617890067
482,"Rosenbaum, Elyse",3.115193464052288
482,"Shanbhag, Naresh R",3.136559090909091
483,"Hanumolu, Pavan Kumar",3.319661569929427
483,"Ahmed, Mostafa M",3.4170833333333337
483,"Shanbhag, Naresh R",3.193157894736842
484,"Driggs-Campbell, Katherin",3.9196969696969695
485,"Liu, Gang L",3.571669815451433
486,"Hu, Bin",3.3053448275862065
486,"Baryshnikov, Yuliy",3.2524242424242424
486,"Dong, Roy",3.4088
486,"Liberzon, Daniel M",3.4267397129186605
486,"Raginsky, Maxim",3.535386712749616
486,"Han, Yun Long",3.6152380952380954
486,"Belabbas, Mohamed Ali",3.374504336043361
486,"Hutchinson, Seth A",3.1862839105339105
486,"Meyn, Sean P",3.022222222222222
488,"Dallesasse, John M",3.4014456486042697
488,"Feng, Milton",3.74625
490,"Bose, Subhonmesh",3.736666666666667
490,"Veeravalli, Venugopal V",3.6218918918918925
490,"Yarkony, Elad",3.7089583333333334
490,"Baryshnikov, Yuliy",3.011612903225807
490,"Hu, Bin",3.5714285714285716
490,"Kiyavash, Negar",3.6803506787330322
490,"Srikant, Rayadurgam",3.4796299071021872
490,"Baryshnikov, Juliy",3.326405263157895
490,"Kumar, P R",3.7101367781155012
498,"Iyer, Ravishankar K",3.133670634920635
498,"Chen, Deming",2.9356566005176874
498,"Zhou, Jin",3.758965517241379
498,"Mitra, Sayan",3.667428571428571
498,"Roy Choudhury, Romit",3.4350130020703937
498,"Levchenko, Kirill I",3.0809090909090906
498,"Lu, Yi",3.2668
498,"Patel, Sanjay J",3.5226086956521736
508,"Hwu, Wen-Mei W",3.842295081967213
510,"Jain, Kanti",3.6794940476190474
511,"Kumar, Rakesh",3.4292857142857143
511,"Kim, Nam Sung",3.6755263157894733
511,"Frank, Matthew I",3.7777777777777777
515,"Mehta, Prashant G",3.7069664902998234
515,"Dong, Roy",3.8545615079365074
515,"Etesami, Seyed Rasoul",3.7411111111111106
515,"Baryshnikov, Yuliy",3.2146428571428567
515,"Salapaka, Srinivasa M",3.505853531810979
515,"Liberzon, Daniel M",3.65
515,"Bolouki, Sadegh",3.615
515,"LaViers Minnick, Amy E",3.5274418604651157
515,"Belabbas, Mohamed Ali",3.8023076923076924
515,"Dullerud, Geir E",3.5246666666666666
515,"Baryshnikov, Juliy",3.7852941176470587
515,"Hutchinson, Seth A",3.54420424403183
515,"Basar, M T",3.2503333333333333
515,"Kumar, P R",3.622075471698113
515,"Meyn, Sean P",3.174
517,"Liberzon, Daniel M",3.7622547412008283
518,"Li, Xiuling",3.8851619047619046
520,"Peng, Zhen",3.52
520,"Jin, Jianming",3.653083051837806
520,"Yan, Su",3.7250967261904764
520,"Chuang, Shun L",3.651904761904762
526,"Vaidya, Nitin H",3.604375
